threads_num|width|time
1|128|0.028387
1|128|0.027634
1|128|0.02885
1|128|0.028406
1|128|0.02725
1|128|0.029041
1|128|0.028376
1|128|0.028468
1|128|0.027562
1|128|0.027179
2|128|0.216221
2|128|0.219878
2|128|0.220144
2|128|0.218125
2|128|0.21884
2|128|0.215566
2|128|0.218626
2|128|0.218377
2|128|0.223785
2|128|0.224613
4|128|0.121148
4|128|0.122448
4|128|0.118051
4|128|0.089353
4|128|0.120957
4|128|0.120664
4|128|0.11847
4|128|0.122576
4|128|0.112141
4|128|0.11981
8|128|0.209671
8|128|0.21016
8|128|0.382525
8|128|0.236463
8|128|0.175531
8|128|0.176752
8|128|0.147908
8|128|0.377917
8|128|0.193918
8|128|0.181575
16|128|0.764868
16|128|0.829939
16|128|0.50096
16|128|0.448919
16|128|0.59797
16|128|0.499525
16|128|0.347922
16|128|0.580312
16|128|0.974553
16|128|3.067645
32|128|0.736345
32|128|0.702984
32|128|0.615867
32|128|0.778204
32|128|0.657855
32|128|0.677502
32|128|0.623547
32|128|0.668374
32|128|0.85465
32|128|0.712272
64|128|2.463748
64|128|5.487576
64|128|2.311364
64|128|3.666801
64|128|2.185067
64|128|2.324345
64|128|21.319404
64|128|10.747716
64|128|3.366895
64|128|2.189612
128|128|64.34436
128|128|3.841271
128|128|6.169647
128|128|4.494922
128|128|16.471259
128|128|4.826217
128|128|53.441912
128|128|10.265666
128|128|4.594047
128|128|3.642268
1|256|0.11503
1|256|0.113856
1|256|0.114354
1|256|0.114672
1|256|0.113588
1|256|0.114428
1|256|0.11299
1|256|0.113341
1|256|0.112949
1|256|0.113201
2|256|0.478628
2|256|0.473863
2|256|0.468351
2|256|0.57822
2|256|0.474405
2|256|0.57815
2|256|0.580226
2|256|0.586592
2|256|0.582113
2|256|0.57658
4|256|0.261429
4|256|0.254392
4|256|0.255802
4|256|0.258865
4|256|0.259278
4|256|0.255408
4|256|0.256624
4|256|0.260956
4|256|0.258137
4|256|0.257566
8|256|0.445974
8|256|0.434413
8|256|0.493043
8|256|0.521301
8|256|0.493552
8|256|0.489279
8|256|0.474688
8|256|0.487165
8|256|0.486437
8|256|0.496547
16|256|2.120577
16|256|1.93731
16|256|1.822488
16|256|2.077841
16|256|2.362479
16|256|2.51929
16|256|2.77201
16|256|2.134569
16|256|2.394876
16|256|1.889456
32|256|1.292737
32|256|1.35753
32|256|1.527125
32|256|1.623705
32|256|1.373617
32|256|1.299789
32|256|1.373181
32|256|7.664782
32|256|1.392644
32|256|1.375761
64|256|8.079598
64|256|10.182209
64|256|8.214449
64|256|6.97996
64|256|5.651077
64|256|5.806141
64|256|9.163119
64|256|5.744318
64|256|11.728984
64|256|9.597426
128|256|45.61521
128|256|23.167056
128|256|61.117437
128|256|11.193513
128|256|9.23334
128|256|12.818718
128|256|11.38462
128|256|16.523889
128|256|14.366601
128|256|13.593066
1|512|1.657461
1|512|1.635798
1|512|1.668149
1|512|1.639604
1|512|1.633334
1|512|1.635775
1|512|1.634359
1|512|1.640938
1|512|1.638095
1|512|1.633023
2|512|2.252336
2|512|2.452821
2|512|2.45557
2|512|2.188115
2|512|1.994577
2|512|2.471301
2|512|2.437165
2|512|2.385766
2|512|2.311987
